Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
American Alsatian,https://fr.wikipedia.org/wiki/American_Alsatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ancien berger allemand,https://en.wikipedia.org/wiki/Old_German_herding_dogs,,,,,,,,,,,,,"Altdeutsche Hütehunde , altdeutsche Schäferhunde",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita américain,https://fr.wikipedia.org/wiki/Akita_am%C3%A9ricain,Japon puis États-Unis,61 à 71 cm : chien de très grande taille .,,"Double ; court, dense, dur et droit.","Toutes couleurs admises, avec ou sans panachures.","Crâne et museau larges, stop marqué sans exagération.",Petits et brun foncé.,"Droites, relativement petites, triangulaires, dirigées vers l'avant.","Longue, épaisse et enroulée sur le dos.","Amical, vigilant, réceptif, digne, docile et courageux.","Non précisé dans le standard, mais chien robuste, beaucoup de substance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouledogue américain,https://fr.wikipedia.org/wiki/Bouledogue_am%C3%A9ricain,États-Unis,,,,,,,,,"Calme à l’intérieur, bon gardien et très polyvalent.",,"Chien de compagnie , chien de ferme, chien du sport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bully,https://fr.wikipedia.org/wiki/American_Bully,États-Unis,Mâle : 43 à 58 cm. Femelle : 40 à 54 cm [ 1 ],de 22 à +52 kg pour les XL [ 1 ],"Court, lisse et brillant",Le poil est ras et toutes les couleurs sont admises sauf le merle .,"La tête est lourde et massive, de longueur moyenne, le crâne est large, bien ciselé avec des muscles de joues très prononcés [ 1 ] .","Toutes les couleurs sont acceptées sauf l' albinisme (de rose à rouge). Les yeux bleus, le manque de pigment autour des yeux sont indésirables. La forme des yeux est ovale, en amande, bas dans le crâne et éloignés. Les yeux ronds, bombés ou protubérants ne sont pas souhaitables [ 1 ] .","Les oreilles sont hautes et peuvent être naturelles ou taillées, sans préférence [ 1 ] .",,,,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocker américain,https://fr.wikipedia.org/wiki/Cocker_am%C3%A9ricain,États-Unis,34 à 39 cm,,"Soyeux, plat ou légèrement ondulé",Unicolore ou pluricolore,"Petite tête, stop marqué",Foncés,Tombantes,Écourtée ou naturelle,"Gai, vif, fier, curieux, joueur, mais avec un caractère bien affirmé.",11 à 15 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo,https://fr.wikipedia.org/wiki/Esquimau_am%C3%A9ricain,Allemagne,L'esquimau américain admet trois tailles.,,Poil double.,Blanc ou blanc et biscuit.,"Petite, mais proportionnel au corps","Légèrement ovales, de couleur marron.","Triangulaires, dressées.",Portée sur le dos.,"Intelligent, alerte et amical.",,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foxhound américain,https://fr.wikipedia.org/wiki/Foxhound_am%C3%A9ricain,États-Unis,"56 à 63,5 cm (M), 53 à 61 cm (F).",,Court et serré.,Toutes les couleurs sont admises.,Assez longue avec l'occiput légèrement bombé et un stop modéré.,"De couleur brune ou noisette, grands et bien espacés.","Longues et assez larges, tombantes, attachées bas.",Portée légèrement recourbée au-dessus du dos.,"Confiant, sûr de lui.",Chien courant de grande taille.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Hairless Terrier,https://fr.wikipedia.org/wiki/American_Hairless_terrier,États-Unis,18 à 45 cm,"4,5 à 14 kg",Aucun,"Variété de couleurs, avec ou sans taches blanches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pit Bull Terrier,https://fr.wikipedia.org/wiki/American_Pit_Bull_Terrier,États-Unis,45 à 50 cm (mâle) 40 à 50 cm (femelle),16 à 27 kg (mâle) 12 à 22 kg (femelle),Court et dur au toucher,"n'importe quelle couleur, n'importe quel motifs, ou n'importe quelle combinaison de couleurs est acceptable, sauf le merle et l'albinisme.","Longueur moyenne, crâne plat et plus large au niveau des oreilles avec des joues proéminentes, sans être disproportionnée",Ronds et d'une couleur uniforme,"Droites sur la tête, semi dressées, port idéal en rose",,,"chien musclé, ramassé et pas très haut de taille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american staffordshire terrier,https://fr.wikipedia.org/wiki/American_Staffordshire_Terrier,,Mâle : 45 à 48 cm. Femelle : 43 à 45 cm.,Mâle : 25 kg à 31 kg. Femelle : 18 kg à 25 kg,"Court, serré, dur au toucher, luisant.","Le poil est ras, et toutes les couleurs admises, mais les robes noir et feu et foie et marron ne doivent pas être encouragées outre mesure. Le blanc et le clair ne doivent pas dépasser 80 % par rapport aux autres couleurs.","La tête au stop accusé est large, surtout au niveau des arcades zygomatiques.","Ronds, de couleur foncée bien enfoncés dans les orbites et bien séparés.","En demi rose, étaient traditionnellement taillées pour obtenir un port droit.","Courte, attachée bas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Fox Terrier,https://en.wikipedia.org/wiki/Toy_Fox_Terrier,,,,,,,,,,,,,American Toy Terrier Amertoy,America,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien d'eau américain,https://fr.wikipedia.org/wiki/Chien_d%27eau_am%C3%A9ricain,États-Unis,38–46 cm.,"15,5 kg à 22,5 (M) ; 13,5 kg à 20 kg (F).",de l'ondulé aux boucles serrées,"brun-rouge, marron ou chocolat",,,longues et larges,,intelligent et docile avec sa famille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatolian Greyhound,https://fi.wikipedia.org/wiki/Anatolianvinttikoira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo-Français de petite vénerie,https://fr.wikipedia.org/wiki/Anglo-fran%C3%A7ais_de_petite_v%C3%A9nerie,France,48 à 56 cm,40-42,"Court, serré, lisse.","Tricolore, blanc et noir ou blanc et orange.","Allongée, pas trop large, stop avec cassure du front peu marquée.","Grands, bruns, expression douce et vive.","Tombantes, souples, attachées au-dessous du niveau de la ligne de l’œil.","De longueur moyenne, assez fine.","Intelligent, infatigable, obéissant.","Chien courant de taille moyenne, équilibré et bien construit.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kintamani,https://fr.wikipedia.org/wiki/Kintamani_(chien),Indonésie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvier de l’Appenzell,https://fr.wikipedia.org/wiki/Bouvier_d%27Appenzell,Suisse,50 à 56 cm,,Double,"Fond noir ou havane, marques symétriques de couleur feu ou blanche","Crâne assez plat, stop peu accusé, truffe noire ou marron","Petits en amande, brun foncé à marron",Larges et tombantes,Forte de longueur moyenne,"Vif, hardi et méfiant.","Presque inscriptible dans un carré, robuste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariégeois,https://fr.wikipedia.org/wiki/Ari%C3%A9geois_(chien),France,"52 à 58 cm (M), 50 à 56 cm (F).",,"Court, fin et serré.","Blanche à taches noires ; parfois mouchetée, présence de feu sur la tête.","Légèrement bombée, truffe noire, arcades sourcilières peu marquées.","Bien ouverts, bruns.","Tombantes, souples, longues.","Assez fine, atteignant la pointe du jarret.","Gai, sociable, appliqué.",Chien courant de taille moyenne de construction légère.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvier australien,https://fr.wikipedia.org/wiki/Bouvier_australien,Australie,"46 à 51 cm (M), 43 à 48 cm (F).",,"Court, droit, dense et dur, avec sous-poil.",Bleu moucheté ou truité de rouge.,"Crâne large et plat, stop léger et net, museau fort, truffe noire.","De taille moyenne, forme ovale, marron foncé.","Dressées, presque pointues, attachées haut.","Atteint le jarret, portée pendante ou horizontale.","Fidèle, courageux, méfiant avec les étrangers.","Chien de berger de taille moyenne, d'allure puissante et musclée.","Chien de berger , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Kelpie,https://fr.wikipedia.org/wiki/Australian_Kelpie,Australie,"mâles de 46 à 51cm, femelles de 43 à 48cm.",,"mi-long, très épais et riche en sous-poil.","noir, chocolat, rouge, fawn, bleu, noir & feu, rouge & feu",proportionnée aux dimensions du chien et en harmonie avec sa conformation générale.,"de la couleur de la robe, en amande et délimités du reste du corps par une absence de pilosité","plutôt petites, droites et pointues.","naturellement tombante, arrive jusqu'au jarret.","chien de compagnie, très fidèle à son maître, facile à dresser, gentil avec les enfants et suffisamment méfiant vis-à-vis des étrangers pour être un très bon chien de garde.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger australien,https://fr.wikipedia.org/wiki/Berger_australien,États-Unis,"mâle : 51 à 58 cm, femelle : 48 à 54 cm",Pour mâle : 22 à 32 kg et pour femelle : 21 à 28 kg,Texture et longueur moyennes. Droit à ondulé.,noire unicolore- rouge unicolore-Bleu-merle unicolore-rouge merle unicolore-noir et blanc bicolore-rouge et blanc bicolore-bleu merle et blanc bicolore-rouge merle et blanc bicolore-noir et feu bicolore-rouge et feu bicolore-bleu merle et feu bicolore-rouge merle et feu bicolore-noir tricolore-rouge tricolore-bleu merle tricolore-rouge merle tricolores.,"Crâne aussi large que long, stop modéré, bien défini.","En amande : de couleur marron, bleu, vert ou ambre ou vairons ou hétérochrome.","Tombantes [ 1 ] , attachées haut, triangulaires.","Longue, parfois courte ou écourtée.","Endurant, souvent attentif devient un chien de compagnie plus appréciés, équilibré et intelligent il lui faut un maître plutôt expert pour qu'il ne soit pas malheureux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier australien à poil soyeux,https://fr.wikipedia.org/wiki/Terrier_australien_%C3%A0_poil_soyeux,Australie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvier australien courte queue,https://fr.wikipedia.org/wiki/Bouvier_australien_courte_queue,Australie,"46 à 51 cm (M), 43 à 48 cm (F).",,"Court, droit, dense et moyennement rude, avec sous-poil.",Bleue ou truitée de rouge.,"Crâne large et plat, stop léger et net, museau tronqué et fort, truffe noire.","De taille moyenne, forme ovale, marron foncé.","Dressées, presque pointues, attachées haut.",Naturellement courte (longueur 10 cm ),"Fidèle, courageux et dévoué à son maître.","Chien de berger de taille moyenne, d'allure puissante et musclée.",Chien de berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier australien,https://fr.wikipedia.org/wiki/Terrier_australien,,Environ 25 cm.,,"Double, rêche, droit et dense","Variantes de bleu et marques de feu, ou sable clair, rouge","Crâne long, plat, stop léger","Petits en amande, brun foncé",,"écourtée, dressée","Fidèle, égalité d'humeur","Vigoureux, bas sur pattes, long, environ 6,5 kg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azawakh,https://fr.wikipedia.org/wiki/Azawakh,Sahel,"M 64-74 cm, F 60-70 cm grand, élancé et longiligne","M 20-25 kg, F 15-20 kg","Ras, fin","Toutes nuances de fauve, balzane aux membres, plastron blanc, pinceau blanc en bout de queue.","Fine, carré","En amande, assez grands, foncés ou ambrés","Attachées haut, fines, tombantes","Longue, mince, effilée","Vif, attentif, distant, voire très méfiant avec les étrangers, fort caractère. Indépendant et assez désobéissant, il est nécessaire de bien le cadrer dès son plus jeune âge. Cependant il est très attaché à ses maîtres et se montre débordant d'affection avec ceux qu'il connaît bien. Il aime les caresses et plus que tout jouer avec d'autres chiens.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkaew de Thaïlande,https://fr.wikipedia.org/wiki/Bangkaew_de_Tha%C3%AFlande,Thaïlande,"46 à 55 cm (M), 41 à 50 cm (F)",,"Poil de couverture droit et grossier, avec un sous-poil dense.",Bicolore.,En forme de coin.,"En amande, de couleur noir ou marron foncé.","Triangulaires, assez petite en comparaison avec la tête.","Recourbée sur le dos, en panache.","Intelligent, attentif, loyal.",,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbet,https://fr.wikipedia.org/wiki/Barbet_(chien),France,de 52 à 66 cm,,"Long, laineux, frisé.","Unicolore, différentes couleurs acceptées.","Crâne rond, stop marqué, poil formant une barbe.","Ronds, de préférence marron foncé.","Tombantes, larges.","Un peu relevée, attachée bas.","Équilibré, sociable, aimant l'eau.","type médioligne, longueur légèrement supérieure à la hauteur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de Majorado,https://en.wikipedia.org/wiki/Perro_Majorero,,,,,,,,,,,,,,Canary Islands (Spain),,standard,Recognised in Spanish legislation [ 1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barzoï,https://fr.wikipedia.org/wiki/Barzo%C3%AF,Russie,"STANDARD en vigueur : Hauteur au garrot recherchée - 75 à 85 cm pour les mâles, 68 à 78 cm pour les femelles. Chez les mâles, la hauteur au garrot est égale ou à peine supérieure à celle du sommet de la croupe au sol. Chez les femelles ces hauteurs sont égales. Les sujets dépassant la taille maximale sont admis à condition que la morphologie typique soit sauvegardée.",,"Soyeux, doux et souple, ondulé",Combinaison de toutes couleurs sauf bleu et marron,"Sèche, étroite, stop peu marqué, grande truffe","Noisette foncé ou brun foncé, en amande","Petites, mobiles, attachées haut, plutôt en arrière","Longue, en forme de sabre, garnie d'un panache","Calme, équilibré. S'excite à la vue du gibier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basenji,https://fr.wikipedia.org/wiki/Basenji,République démocratique du Congo,"43 cm ( Mâle ), 40 cm ( Femelle )","12 kg ( Mâle ), 11,5 kg ( Femelle )","Court, luisant, serré.","Fauve et blanc, noir et blanc, noir fauve et blanc. Le marquage bringé est accepté.","Fine, front ridé, stop léger.","Foncés, en amande.","Petites, pointues, dressées.","Longue, d'insertion haute, s'enroule en boucle serrée.","N'aboie pas, propre, intelligent.",,"Chien de compagnie , chien de chasse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset artésien normand,https://fr.wikipedia.org/wiki/Basset_art%C3%A9sien_normand,France,30 à 36 cm .,17 à 22 kg .,Ras et serré.,Tricolore ou bicolore fauve et blanc.,"Crâne en dôme, stop marqué, truffe noire et large.","De forme ovale, grands et foncés.","Tombantes, attachées bas, tirebouchonnées et très longues.","Portée en sabre, atteint tout juste le sol.","Fin de nez, gai, très affectueux.","Chien courant de petite taille, long et compact.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset bleu de Gascogne,https://fr.wikipedia.org/wiki/Basset_bleu_de_Gascogne,France,34 à 38 cm,,"Court, demi-gros, bien fourni",Mouchetée (noir et blanc) donnant un reflet bleu ardoise,"Crâne légèrement bombé, stop peu accentué, truffe large","Forme ovale, enfoncés, bruns","Tombantes, longues, fines et papillotées",En lame de sabre. Au repos son extrémité atteint juste le sol.,"Nez fin, actif, affectueux.","Chien courant de petite taille, de type basset , corpulente sans lourdeur.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset fauve de Bretagne,https://fr.wikipedia.org/wiki/Basset_fauve_de_Bretagne,Bretagne,32 à 38 cm .,,"Très dur, sec, assez court.",Fauve unicolore.,"Allongée, truffe noire, museau plutôt effilé.","Ni proéminents ni trop enfoncés, couleur marron foncé.","Tombantes, terminées en pointes, tournées vers l'intérieur.","Longueur moyenne, portée légèrement en faucille.","Sociable, affectueux, équilibré.",Chien de type basset .,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basset hound,https://fr.wikipedia.org/wiki/Basset_hound,"Angleterre , Royaume-Uni France",33 à 38 cm .,,"Lisse, court et serré.",Toutes les couleurs du chien courant sont admises.,"Crâne en dôme, avec la peau lâche.","En forme de losange, de couleur foncée.","Tombantes, longues et papillotées.",Assez longue.,"Tenace, placide, aime les enfants et affectueux","Chien courant de petite taille, de type basset de construction massive.","Chien de compagnie , Chien de chasse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de rouge de Bavière,https://fr.wikipedia.org/wiki/Chien_de_recherche_au_sang_de_la_montagne_bavaroise,Allemagne,"47 à 52 cm (M), 44 à 48 cm (F).",,"Serré, plat et bien couché.",Fauve unicolore dans toutes ses nuances.,"Portée horizontalement ou légèrement relevée, stop marqué.","Ni trop grands, ni trop ronds, brun foncé.","Atteignent au maximum la truffe, attachées haut, tombantes, non papillotées.","Atteignent la pointe du jarret, attachée haut, portée à l’horizontale ou tombante.","Calme, équilibré, attaché à son maître, réservé envers les étrangers.","Chien de taille moyenne, plutôt léger et musclé.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beagle,https://fr.wikipedia.org/wiki/Beagle,Angleterre,33 à 40 cm,10 à 24kg,"Ras, imperméable","Uni (blanc), bicolore (blanc et sable) ou tricolore (blanc, noir et marron).","Fine, carrée.",Marron cerclés de noir.,"Tombantes, longues avec l'extrémité arrondie.",Longue avec fouet blanc.,Amical et attachant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colley barbu,https://fr.wikipedia.org/wiki/Bearded_collie,,53 à 56 cm pour les mâles 51-53cm pour les femelles,27 à 32 kg,"Le poil est double, le sous-poil est doux et serré, semblable à de la fourrure. Le poil de couverture est plat, rêche, fort et hirsute","Gris ardoise, fauve rougeâtre, noir, bleu, tous les tons de gris, marron et sable, avec ou sans marques blanches","crâne large, stop modéré","grands, marron plus ou moins foncé, en fonction de l'âge du chien et de la couleur de son poil","taille moyenne, tombantes","portée basse, ou légèrement relevé, jamais enroulé sur le dos","placide, modéré, prudent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauceron,https://fr.wikipedia.org/wiki/Berger_de_Beauce,France,Femelle 61 à 68 et Male 65 à 70 cm,Non préciser dans le standard FCI ( fédération cynologique international),"Ferme, couché, de 3 à 5 cm de long",Noir et feu ou arlequin (bleu bigarré marqué de fauve),Crâne plat ou légèrement arrondi d'un côté à l'autre,"Horizontaux, de forme légèrement ovale, marron foncé",Semi-dressées ou tombantes,"Entière, portée bas en forme de J","Chien d'un abord franc et sans peur, l'expression est franche, jamais méchante, peureuse ni inquiète. Le caractère du beauceron doit être sage et hardi, mais il est aussi très têtu.",grand chien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington terrier,https://fr.wikipedia.org/wiki/Bedlington_terrier,Royaume-Uni,41 cm au garrot,"10,2 à 12,4 kg",épais et feutré. Tendance à boucler,"blanc, bleu, noir, marron ou sable, avec ou sans feu, le visage et les oreilles resten rarement claires avec les robes de couleurs foncées.","crâne étroit, en forme de poire, haut et arrondi, absence de stop, rappelant celle d'un Bull Terrier.","petits, brillants, triangulaires. Couleur différant selon la robe.","tombantes, oblongues, attachées bas, terminant toujours par un toupet de poils ondulés.","longueur modéré, attachée bas.","vif et affectueux, avec un instinct de chasseur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon belge,https://www.wikidata.org/wiki/Q21153321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger de Bergame,https://fr.wikipedia.org/wiki/Berger_de_Bergame,Italie,54 à 62,,"très abondant,long, réche, forme des mèches à la partie arrière du dos","gris uniforme ou avec des taches noires, des nuances isabelle ou fauve claire sont admises ainsi que les robes entièrement noires si la couleur est opaque","crâne large, stop accentué","grands, marron plus ou moins foncé","assez petites, attachées haut, semi-tombantes",portée en sabre,"vigilant, modéré, patient, allègre",28 à 40 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger blanc suisse,https://fr.wikipedia.org/wiki/Berger_blanc_suisse,Suisse,55 à 61 cm pour une femelle 61 à 66 cm pour un mâle : taille moyenne,,"Poil mi-long ou long, de longueur moyenne, dense et bien couché, sous-poil abondant ; poil de couverture lisse et dur",Blanche,"Cunéiforme, puissante, stop peu marqué","En amande, obliques, foncés, ou parfois claire","Droites, de taille moyenne, en forme de triangle allongé, pavillon vers l'avant","En forme de sabre, touffue sur le pourtour","Fidèle, craintif, sportif, parfois réservé avec les étrangers",27 à 37 kg pour une femelle 37 à 42 kg pour un mâle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
